tcr,bin,accuracy,f1,precision,recall,cv_f1,num_mutations_in_bin,num_significant_features,penalty,C,solver
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1_to_2,1.0,1.0,1.0,1.0,0.45,203659,173,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1_to_3,1.0,1.0,1.0,1.0,0.2,292877,163,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1_to_4,1.0,1.0,1.0,1.0,0.5,355002,161,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,124,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,115,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,15,l1,1,liblinear
TRAV14/DV4_TRAJ13,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRAV14/DV4_TRAJ13,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,276,l1,10,liblinear
TRAV14/DV4_TRAJ13,1_to_3,1.0,1.0,1.0,1.0,0.2,292877,165,l1,10,liblinear
TRAV14/DV4_TRAJ13,1_to_4,1.0,1.0,1.0,1.0,0.5833333333333333,355002,135,l1,10,liblinear
TRAV14/DV4_TRAJ13,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,101,l1,10,liblinear
TRAV14/DV4_TRAJ13,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,89,l1,10,liblinear
TRAV14/DV4_TRAJ13,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,84,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,114,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1_to_3,1.0,1.0,1.0,1.0,0.45,292877,143,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1_to_4,1.0,1.0,1.0,1.0,0.5,355002,170,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,132,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,132,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,113,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,116,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,1_to_3,1.0,1.0,1.0,1.0,0.45,292877,138,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,1_to_4,1.0,1.0,1.0,1.0,0.5,355002,174,l1,10,liblinear
